"Date","Price","Open","High","Low","Vol.","Change %"
"03/16/2022","424.90","427.05","428.55","420.70","27.19M","2.72%"
"03/15/2022","413.65","409.85","424.20","408.00","47.71M","0.47%"
"03/14/2022","411.70","418.75","419.00","404.00","40.72M","-1.54%"
"03/11/2022","418.15","413.60","421.15","407.40","51.51M","-0.35%"
"03/10/2022","419.60","427.00","434.95","414.00","59.78M","3.38%"
"03/09/2022","405.90","394.95","409.25","389.50","48.38M","3.61%"
"03/08/2022","391.75","390.50","395.45","376.35","55.54M","-0.57%"
"03/07/2022","394.00","401.75","401.75","387.50","44.84M","-5.57%"
"03/04/2022","417.25","431.85","431.85","414.75","38.77M","-4.54%"
"03/03/2022","437.10","458.50","458.50","435.00","29.60M","-2.35%"
"03/02/2022","447.60","452.95","454.25","444.55","25.79M","-1.42%"
"02/28/2022","454.05","445.00","457.35","440.45","34.48M","-1.24%"
"02/25/2022","459.75","444.85","465.70","441.60","48.88M","7.43%"
"02/24/2022","427.95","455.95","461.55","405.45","57.27M","-10.28%"
"02/23/2022","477.00","481.75","485.40","475.30","17.70M","-0.26%"
"02/22/2022","478.25","480.55","486.30","471.45","27.96M","-3.28%"
"02/21/2022","494.45","490.15","500.40","486.10","22.59M","0.26%"
"02/18/2022","493.15","498.00","502.65","491.50","15.48M","-1.36%"
"02/17/2022","499.95","505.90","511.50","498.30","27.94M","0.30%"
"02/16/2022","498.45","504.00","507.90","496.60","20.18M","-1.10%"
"02/15/2022","504.00","476.15","505.50","467.30","30.62M","6.90%"
"02/14/2022","471.45","487.00","488.50","468.80","22.16M","-5.49%"
"02/11/2022","498.85","503.25","507.00","497.00","13.53M","-1.69%"
"02/10/2022","507.45","506.70","510.50","504.20","14.54M","1.24%"
"02/09/2022","501.25","496.50","503.70","494.70","12.43M","1.73%"
"02/08/2022","492.75","498.00","498.50","479.15","23.38M","-0.37%"
"02/07/2022","494.60","502.90","504.35","492.50","13.39M","-1.20%"
"02/04/2022","500.60","503.80","507.80","499.00","12.66M","-0.77%"
"02/03/2022","504.50","509.10","514.30","502.85","15.25M","-0.38%"
"02/02/2022","506.40","508.60","514.45","505.15","14.31M","0.42%"
"02/01/2022","504.30","508.00","514.75","493.00","48.03M","-2.60%"
"01/31/2022","517.75","505.00","520.00","498.20","27.31M","4.11%"
"01/28/2022","497.30","500.50","509.35","495.30","21.78M","0.59%"
"01/27/2022","494.40","480.75","502.70","476.60","26.68M","0.78%"
"01/25/2022","490.55","473.80","492.50","467.65","22.57M","2.53%"
"01/24/2022","478.45","499.70","504.30","473.35","25.23M","-4.66%"
"01/21/2022","501.85","510.40","513.85","494.25","17.95M","-2.69%"
